cfg,W,tpd,ntp,lev,stop,sltp,maxdist,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,port_growth,port_DD,port_posMo
0,1700,0.3,15,1.0,0.005,1,0.015,0.3090759898399702,0.9761150112598664,1.8086046525792678,1.9760034565343223,0.8352644240879652,-0.035865996698022595,1.202480888247262,0.18230622767177995,0.04102165194085239,103.71439802778193,21.43296598477501,62.10526315789474
1,1700,0.3,15,1.0,0.005,1,0.0,0.29225152519086306,0.9412478223168252,1.7723726236737152,1.8705453060187205,0.8241977348749845,0.07253883101654557,1.1764649574044452,0.16466701245401016,0.04102165194085239,103.07235419757671,18.430522605740318,62.10526315789474
2,2800,0.28,15,1.0,0.008,2,0.0075,0.1325444006145562,1.2769508207579583,1.9743360256607416,3.662104234652678,0.44145219255950763,0.21437184578881618,0.4868816404411016,0.07394219076318409,0.049179707310589516,104.86728316069389,20.61982085136397,61.05263157894737
3,2000,0.3,9,1.0,0.004,1,0.005,0.3156807562716324,0.8842088831176533,1.1956689172651545,4.0495315679559365,0.8679812862858418,-0.0413801827237289,0.8566185589300155,0.017850038488153475,0.08262213537147556,100.69312657032316,21.422100937954625,65.26315789473685
4,2800,0.29,14,1.0,0.008,2,0.0075,0.13805915250622158,1.2859286098754845,1.9868650780267716,3.6118154166523366,0.44830304028471346,0.21382384132631582,0.4730783146659654,0.06886947294312962,0.04971140643531635,104.1239303770193,20.821945835663946,61.05263157894737
5,1700,0.3,15,1.0,0.005,3,0.0,0.28610906384649404,0.9058388411609373,1.7516745884894331,2.0722592828570234,0.8220381364149567,0.057014460747541795,1.0906997315245417,0.14997820027179798,0.04218967375098481,99.99662432952624,18.40774598384216,63.1578947368421
6,1700,0.3,15,1.0,0.005,3,0.015,0.30137048261094446,0.9400859755960589,1.7869405819665194,2.1712665700425955,0.8330602626793071,-0.04981709870472817,1.1158691220516497,0.16519490361256928,0.04218967375098437,99.86205156021016,21.59406105061443,63.1578947368421
7,1700,0.3,14,1.0,0.005,1,0.015,0.31143550216985716,0.9781859636498282,1.8065282665110112,1.925230642895146,0.8360409350532363,-0.03570611871550011,1.1500309530065236,0.18358285458128498,0.04099380813343023,99.89111984298867,21.418218843590775,62.10526315789474
8,1700,0.3,15,1.0,0.005,4,0.0,0.28610906384649404,0.9058388411609373,1.7456512496937076,2.068613303131457,0.8220381364149567,0.0569471546390814,1.090699731524539,0.14997820027179776,0.04218967375098437,99.65297819031309,18.40774598384216,63.1578947368421
9,1700,0.3,15,1.0,0.005,4,0.015,0.30137048261094446,0.9400859755960589,1.7808243059754791,2.1675197146575296,0.833060262679306,-0.0498170987047285,1.1158691220516483,0.16519490361256972,0.04218967375098437,99.52516408765108,21.59406105061442,63.1578947368421
10,2000,0.3,9,1.0,0.004,2,0.005,0.3668447915914217,0.8672870922833189,1.2020067533806826,3.909734873296803,0.874231310690049,-0.0384912259886635,0.8389101668115588,-0.0006760146205238016,0.08234206318481374,98.90421201983624,21.345759085841244,66.3157894736842
11,1700,0.3,14,1.0,0.005,1,0.0,0.2945709877383491,0.9432823649251827,1.7703213062276095,1.8214913866206777,0.8249677736361296,0.07315652609931256,1.124559774280585,0.16592242210464492,0.04099380813343001,99.30604282054591,18.413109404425,62.10526315789474
12,1700,0.29,15,1.0,0.005,1,0.015,0.3036464510712482,0.9719195054574636,1.8034737707112107,1.9041665293029797,0.8364605844295883,-0.0368466498968667,1.1707073528792162,0.18276408249413234,0.04049059334306482,98.89666284777549,21.475176348307066,62.10526315789474
13,2800,0.26,15,1.0,0.008,2,0.0075,0.1412655868044812,1.2794581618133782,1.9489382982496322,3.6171358353674314,0.44399352360339983,0.22320693941463166,0.45374309616994823,0.06498100136785312,0.04809670943663935,101.52026654716641,20.687357268902595,61.05263157894737
14,1700,0.28,15,1.0,0.005,1,0.015,0.3156131397075248,0.9654470347718684,1.786138532759503,1.8828688398919766,0.8426739006996513,-0.034788067646087106,1.1356466799011167,0.1946402889713048,0.04247432602253132,98.2472119267143,21.51737863111113,62.10526315789474
15,2800,0.28,14,1.0,0.008,2,0.0075,0.13501359908810562,1.270665655431403,1.9778202029271261,3.5838093438652283,0.44322320265098347,0.21461660089332235,0.4584303932141709,0.07571206158847965,0.049131229002842725,101.4994170612197,20.58443056265776,61.05263157894737
16,1700,0.29,15,1.0,0.005,1,0.0,0.28691525591978273,0.9370889313921715,1.7673085386198246,1.8012636059517346,0.825395559780538,0.07053124865983018,1.1450379409763527,0.16512317138098265,0.040490593343064374,98.2002029840777,18.442586753809188,62.10526315789474
17,1700,0.3,15,1.0,0.005,1,0.02,0.2969375286183453,0.9609925018710053,1.778120598013209,1.9415683436015323,0.8287706814562488,-0.03693159659693945,1.19208025744435,0.17299057766743897,0.041021651940852166,97.98331981373664,21.519801448743937,62.10526315789474
18,2000,0.3,15,1.0,0.011,1,0.005,0.22527736209592408,1.0126309150676804,1.1689239190585456,4.015468179335335,0.7740859648708722,0.09792894574032851,0.8651444171685185,-0.04248413800680051,0.0418217057985899,97.21988096218112,20.074100220965153,62.10526315789474
19,2800,0.27,15,1.0,0.008,2,0.0075,0.12784175815386978,1.2724362453241245,1.9451386981568262,3.572647589846423,0.44180572785044614,0.22602707875408568,0.4716407134564604,0.06945351442915992,0.048638208373614766,100.69538225186425,20.653592109990594,61.05263157894737
20,2800,0.29,13,1.0,0.008,2,0.0075,0.14115881724340484,1.279825419903052,1.9915929099612337,3.530589212661746,0.45074737475226656,0.21404567456717016,0.44361114130862234,0.07036438282153235,0.049700098959644334,100.73462999833004,20.799421127353078,61.05263157894737
21,2100,0.3,15,1.0,0.017,2,0.015,0.6074734122435168,0.9248862521722214,1.4053698357568285,2.837644128484225,0.8858243517947222,0.3093561145450765,0.5311134348513797,-0.021069636415019466,0.01474551845343175,107.26814184153284,21.8961682267633,63.1578947368421
22,2800,0.28,15,1.0,0.018,2,0.0075,0.2361831529378704,1.246815808095397,1.8703426121110676,4.334166820163105,0.3656765185561004,0.1790173140204201,0.4358862567156212,0.01877430711313699,0.03323796262645251,103.49444154986813,22.64048503549605,62.10526315789474
23,2700,0.29,15,1.0,0.018,2,0.0075,0.21121425500505842,1.1901954357240943,1.7892417385799857,4.117410602172734,0.5082487589155709,0.18523886701493164,0.35024248860327645,0.003824722161869909,0.05357482581433892,96.6616416274389,18.256153481766933,62.10526315789474
24,2100,0.3,15,1.0,0.017,4,0.015,0.617451142550008,0.9348157437872535,1.3946376338670192,2.8011147656885735,0.8740094530693376,0.31440105037051835,0.534204603704159,-0.01981638166623989,0.014745518453431083,107.07032175730512,21.8961682267633,63.1578947368421
25,2100,0.3,15,1.0,0.017,1,0.015,0.6034687160325105,0.9447314982956907,1.3516882440303446,2.875759665055126,0.8659510707797313,0.30518668610060584,0.5338360522029852,-0.008247224467916814,0.015528632260848552,106.93112883424617,21.89616822676327,62.10526315789474
26,2700,0.28,15,1.0,0.018,2,0.0075,0.2083584128489384,1.1858218159547986,1.7896413982896937,4.142458655587424,0.5027496268374456,0.18586677139572072,0.3370202078765798,0.012135444102889803,0.052957599346143525,96.21432371090769,17.998756838300423,62.10526315789474
